beta,mean_availability,std_availability,mean_false_election_rate,std_false_election_rate,mean_safety_violations,mean_timeout_scaling
0.0,1.0,0.0,0.0,0.0,203.02,1.0
0.05,1.0,0.0,0.0,0.0,305.12,1.0513149660756937
0.1,1.0,0.0,0.0,0.0,272.77,1.1055415967851312
0.15000000000000002,1.0,0.0,0.0,0.0,205.05,1.163159996075596
0.2,1.0,0.0,0.0,0.0,191.77,1.22474487139159
0.25,1.0,0.0,0.0,0.0,187.8,1.2909944487358047
0.30000000000000004,1.0,0.0,0.0,0.0,187.41,1.3627702877384962
0.35000000000000003,1.0,0.0,0.0,0.0,180.27,1.4411533842457827
0.4,1.0,0.0,0.0,0.0,166.83,1.5275252316519468
0.45,1.0,0.0,0.0,0.0,158.62,1.623688281771979
0.5,1.0,0.0,0.0,0.0,150.59,1.732050807568876
0.55,1.0,0.0,0.0,0.0,142.22,1.855921454276675
0.6000000000000001,0.1790153898485346,4.573802803486122e-5,0.0015574534161490678,4.873027286186803e-6,132.77,2.0
0.65,0.1599208999187428,7.486012197117658e-6,0.0016445218438252485,1.5125698114066023e-6,123.99,2.1712405933672363
0.7000000000000001,0.14840946126210197,6.003050093377963e-6,0.0017482517482517465,1.7434626923745965e-18,114.9,2.380476142847614
0.75,0.13800621258526147,4.949663863852832e-6,0.00751879699248122,1.7434626923745964e-17,102.15,2.6457513110645947
0.8,0.1303721739936928,3.297096677539461e-5,0.008296831955922856,3.4546388295219645e-5,90.74,3.0000000000000004
0.8500000000000001,0.12209342221956536,3.60957852208412e-6,0.009433962264150943,0.0,76.86,3.5118845842842465
0.9,0.11531637660267596,2.0845007657623155e-6,0.01136363636363637,5.23038807712379e-18,62.44,4.358898943540679
