seed,beta,duration,heartbeats_sent,heartbeats_delivered,false_elections,safety_violations,availability
1,0.0,5.0,404,315,4,0,0.03
1,0.3,5.0,384,359,4,0,0.03
1,0.6,5.0,324,245,4,0,0.03
1,0.9,5.0,176,113,4,0,0.03
2,0.0,5.0,404,315,4,0,0.03
2,0.3,5.0,384,359,4,0,0.03
2,0.6,5.0,324,245,4,0,0.03
2,0.9,5.0,176,113,4,0,0.03
3,0.0,5.0,404,315,4,0,0.03
3,0.3,5.0,384,359,4,0,0.03
3,0.6,5.0,324,245,4,0,0.03
3,0.9,5.0,176,113,4,0,0.03
4,0.0,5.0,404,315,4,0,0.03
4,0.3,5.0,384,359,4,0,0.03
4,0.6,5.0,324,245,4,0,0.03
4,0.9,5.0,176,113,4,0,0.03
5,0.0,5.0,404,315,4,0,0.03
5,0.3,5.0,384,359,4,0,0.03
5,0.6,5.0,324,245,4,0,0.03
5,0.9,5.0,176,113,4,0,0.03
6,0.0,5.0,404,315,4,0,0.03
6,0.3,5.0,384,359,4,0,0.03
6,0.6,5.0,324,245,4,0,0.03
6,0.9,5.0,176,113,4,0,0.03
7,0.0,5.0,404,315,4,0,0.03
7,0.3,5.0,384,359,4,0,0.03
7,0.6,5.0,324,245,4,0,0.03
7,0.9,5.0,176,113,4,0,0.03
8,0.0,5.0,404,315,4,0,0.03
8,0.3,5.0,384,359,4,0,0.03
8,0.6,5.0,324,245,4,0,0.03
8,0.9,5.0,176,113,4,0,0.03
9,0.0,5.0,404,315,4,0,0.03
9,0.3,5.0,384,359,4,0,0.03
9,0.6,5.0,324,245,4,0,0.03
9,0.9,5.0,176,113,4,0,0.03
10,0.0,5.0,404,315,4,0,0.03
10,0.3,5.0,384,359,4,0,0.03
10,0.6,5.0,324,245,4,0,0.03
10,0.9,5.0,176,113,4,0,0.03
11,0.0,5.0,404,315,4,0,0.03
11,0.3,5.0,384,359,4,0,0.03
11,0.6,5.0,324,245,4,0,0.03
11,0.9,5.0,176,113,4,0,0.03
12,0.0,5.0,404,315,4,0,0.03
12,0.3,5.0,384,359,4,0,0.03
12,0.6,5.0,324,245,4,0,0.03
12,0.9,5.0,176,113,4,0,0.03
13,0.0,5.0,404,315,4,0,0.03
13,0.3,5.0,384,359,4,0,0.03
13,0.6,5.0,324,245,4,0,0.03
13,0.9,5.0,176,113,4,0,0.03
14,0.0,5.0,404,315,4,0,0.03
14,0.3,5.0,384,359,4,0,0.03
14,0.6,5.0,324,245,4,0,0.03
14,0.9,5.0,176,113,4,0,0.03
15,0.0,5.0,404,315,4,0,0.03
15,0.3,5.0,384,359,4,0,0.03
15,0.6,5.0,324,245,4,0,0.03
15,0.9,5.0,176,113,4,0,0.03
16,0.0,5.0,404,315,4,0,0.03
16,0.3,5.0,384,359,4,0,0.03
16,0.6,5.0,324,245,4,0,0.03
16,0.9,5.0,176,113,4,0,0.03
17,0.0,5.0,404,315,4,0,0.03
17,0.3,5.0,384,359,4,0,0.03
17,0.6,5.0,324,245,4,0,0.03
17,0.9,5.0,176,113,4,0,0.03
18,0.0,5.0,404,315,4,0,0.03
18,0.3,5.0,384,359,4,0,0.03
18,0.6,5.0,324,245,4,0,0.03
18,0.9,5.0,176,113,4,0,0.03
19,0.0,5.0,404,315,4,0,0.03
19,0.3,5.0,384,359,4,0,0.03
19,0.6,5.0,324,245,4,0,0.03
19,0.9,5.0,176,113,4,0,0.03
20,0.0,5.0,404,315,4,0,0.03
20,0.3,5.0,384,359,4,0,0.03
20,0.6,5.0,324,245,4,0,0.03
20,0.9,5.0,176,113,4,0,0.03
21,0.0,5.0,404,315,4,0,0.03
21,0.3,5.0,384,359,4,0,0.03
21,0.6,5.0,324,245,4,0,0.03
21,0.9,5.0,176,113,4,0,0.03
22,0.0,5.0,404,315,4,0,0.03
22,0.3,5.0,384,359,4,0,0.03
22,0.6,5.0,324,245,4,0,0.03
22,0.9,5.0,176,113,4,0,0.03
23,0.0,5.0,404,315,4,0,0.03
23,0.3,5.0,384,359,4,0,0.03
23,0.6,5.0,324,245,4,0,0.03
23,0.9,5.0,176,113,4,0,0.03
24,0.0,5.0,404,315,4,0,0.03
24,0.3,5.0,384,359,4,0,0.03
24,0.6,5.0,324,245,4,0,0.03
24,0.9,5.0,176,113,4,0,0.03
25,0.0,5.0,404,315,4,0,0.03
25,0.3,5.0,384,359,4,0,0.03
25,0.6,5.0,324,245,4,0,0.03
25,0.9,5.0,176,113,4,0,0.03
26,0.0,5.0,404,315,4,0,0.03
