seed,beta,duration,heartbeats_sent,heartbeats_delivered,false_elections,safety_violations,availability
1,0.0,10.0,800,715,0,198,1.0
1,0.05,10.0,800,754,0,306,1.0
1,0.1,10.0,796,790,0,274,1.0
1,0.15000000000000002,10.0,792,763,0,181,1.0
1,0.2,10.0,784,726,0,186,1.0
1,0.25,10.0,776,688,0,181,1.0
1,0.30000000000000004,10.0,764,652,0,188,1.0
1,0.35000000000000003,10.0,752,617,0,171,1.0
1,0.4,10.0,736,582,0,183,1.0
1,0.45,10.0,716,548,0,166,1.0
1,0.5,10.0,696,514,0,146,1.0
1,0.55,10.0,672,480,0,153,1.0
1,0.6000000000000001,10.0,640,444,1,137,0.1789949331715146
1,0.65,10.0,608,410,1,111,0.15992001483476892
1,0.7000000000000001,10.0,572,374,1,132,0.14840379377074375
1,0.75,10.0,532,337,4,98,0.13800155597183095
1,0.8,10.0,480,298,4,88,0.13034883711690115
1,0.8500000000000001,10.0,424,254,4,81,0.12209153719205701
1,0.9,10.0,352,205,4,65,0.11531523986777792
2,0.0,10.0,800,715,0,214,1.0
2,0.05,10.0,800,754,0,301,1.0
2,0.1,10.0,796,790,0,269,1.0
2,0.15000000000000002,10.0,792,763,0,191,1.0
2,0.2,10.0,784,726,0,194,1.0
2,0.25,10.0,776,688,0,197,1.0
2,0.30000000000000004,10.0,764,652,0,198,1.0
2,0.35000000000000003,10.0,752,617,0,188,1.0
2,0.4,10.0,736,582,0,170,1.0
2,0.45,10.0,716,548,0,154,1.0
2,0.5,10.0,696,514,0,161,1.0
2,0.55,10.0,672,480,0,149,1.0
2,0.6000000000000001,10.0,644,445,1,145,0.1790317893973553
2,0.65,10.0,608,410,1,132,0.15992741148464185
2,0.7000000000000001,10.0,572,374,1,114,0.14841192616583965
2,0.75,10.0,532,337,4,98,0.13800644479313662
2,0.8,10.0,484,298,4,98,0.13038006009031855
2,0.8500000000000001,10.0,424,254,4,82,0.1220984383552739
2,0.9,10.0,352,205,4,57,0.11531989342898785
3,0.0,10.0,804,715,0,210,1.0
3,0.05,10.0,800,754,0,295,1.0
3,0.1,10.0,800,791,0,259,1.0
3,0.15000000000000002,10.0,792,763,0,209,1.0
3,0.2,10.0,784,726,0,202,1.0
3,0.25,10.0,776,688,0,188,1.0
3,0.30000000000000004,10.0,764,652,0,190,1.0
3,0.35000000000000003,10.0,752,617,0,173,1.0
3,0.4,10.0,736,582,0,164,1.0
3,0.45,10.0,716,548,0,163,1.0
3,0.5,10.0,696,514,0,143,1.0
3,0.55,10.0,672,480,0,138,1.0
3,0.6000000000000001,10.0,644,445,1,119,0.17891762390786226
3,0.65,10.0,608,410,1,134,0.1599038243308758
3,0.7000000000000001,10.0,572,374,1,111,0.14839401911836814
3,0.75,10.0,532,337,4,100,0.1379982948579197
3,0.8,10.0,484,298,4,91,0.13034597281795235
3,0.8500000000000001,10.0,424,254,4,77,0.12208853440436496
3,0.9,10.0,352,205,4,65,0.1153145540678715
4,0.0,10.0,800,715,0,217,1.0
4,0.05,10.0,800,754,0,306,1.0
4,0.1,10.0,796,790,0,280,1.0
4,0.15000000000000002,10.0,792,763,0,189,1.0
4,0.2,10.0,784,726,0,200,1.0
4,0.25,10.0,776,688,0,191,1.0
4,0.30000000000000004,10.0,764,652,0,203,1.0
4,0.35000000000000003,10.0,752,617,0,179,1.0
4,0.4,10.0,736,582,0,162,1.0
4,0.45,10.0,716,548,0,171,1.0
4,0.5,10.0,696,514,0,155,1.0
4,0.55,10.0,672,480,0,145,1.0
4,0.6000000000000001,10.0,644,445,1,123,0.17898304672619858
4,0.65,10.0,608,410,1,110,0.15992086337357247
4,0.7000000000000001,10.0,572,374,1,125,0.14841133039092314
4,0.75,10.0,532,337,4,98,0.13800744263780873
4,0.8,10.0,484,297,4,84,0.1303513720286924
4,0.8500000000000001,10.0,424,254,4,62,0.12209549414972154
4,0.9,10.0,352,205,4,66,0.11531657592168776
5,0.0,10.0,800,714,0,220,1.0
5,0.05,10.0,800,754,0,299,1.0
5,0.1,10.0,796,790,0,270,1.0
5,0.15000000000000002,10.0,792,763,0,207,1.0
5,0.2,10.0,784,726,0,189,1.0
5,0.25,10.0,776,688,0,192,1.0
5,0.30000000000000004,10.0,764,652,0,185,1.0
5,0.35000000000000003,10.0,752,617,0,179,1.0
5,0.4,10.0,736,582,0,158,1.0
5,0.45,10.0,716,548,0,148,1.0
5,0.5,10.0,696,514,0,151,1.0
5,0.55,10.0,672,480,0,157,1.0
5,0.6000000000000001,10.0,640,445,1,140,0.1790727877061984
