seed,beta_pair,total_writes,spacelike_writes,causal_violation_rate,merge_overhead_ms
1,0.0-0.5,5000,5000,1.0,5.669509158785182e6
1,0.0-0.8,5000,5000,1.0,6.216604451778384e6
1,0.5-0.8,5000,5000,1.0,1.0646768658025576e7
2,0.0-0.5,5000,5000,1.0,5.669611828880254e6
2,0.0-0.8,5000,5000,1.0,6.216642439277384e6
2,0.5-0.8,5000,5000,1.0,1.064680883755078e7
3,0.0-0.5,5000,5000,1.0,5.669571547717364e6
3,0.0-0.8,5000,5000,1.0,6.216643517859761e6
3,0.5-0.8,5000,5000,1.0,1.0646848324541584e7
4,0.0-0.5,5000,5000,1.0,5.6695616805003015e6
4,0.0-0.8,5000,5000,1.0,6.216634298341712e6
4,0.5-0.8,5000,5000,1.0,1.0646782551498631e7
5,0.0-0.5,5000,5000,1.0,5.669531433544229e6
5,0.0-0.8,5000,5000,1.0,6.21669707964332e6
5,0.5-0.8,5000,5000,1.0,1.0646739666749975e7
6,0.0-0.5,5000,5000,1.0,5.669554364360188e6
6,0.0-0.8,5000,5000,1.0,6.216601120648131e6
6,0.5-0.8,5000,5000,1.0,1.0646755678111073e7
7,0.0-0.5,5000,5000,1.0,5.669653935873681e6
7,0.0-0.8,5000,5000,1.0,6.216627636972258e6
7,0.5-0.8,5000,5000,1.0,1.0646804917653333e7
8,0.0-0.5,5000,5000,1.0,5.669520329513943e6
8,0.0-0.8,5000,5000,1.0,6.216623206608152e6
8,0.5-0.8,5000,5000,1.0,1.0646742237332169e7
9,0.0-0.5,5000,5000,1.0,5.6695452129193e6
9,0.0-0.8,5000,5000,1.0,6.216602547468178e6
9,0.5-0.8,5000,5000,1.0,1.0646773760593288e7
10,0.0-0.5,5000,5000,1.0,5.669516577329703e6
10,0.0-0.8,5000,5000,1.0,6.216650847947807e6
10,0.5-0.8,5000,5000,1.0,1.064682857516299e7
11,0.0-0.5,5000,5000,1.0,5.669579049080089e6
11,0.0-0.8,5000,5000,1.0,6.216558826874144e6
11,0.5-0.8,5000,5000,1.0,1.0646861303256307e7
12,0.0-0.5,5000,5000,1.0,5.669538556283961e6
12,0.0-0.8,5000,5000,1.0,6.216656196808608e6
12,0.5-0.8,5000,5000,1.0,1.0646787757498862e7
13,0.0-0.5,5000,5000,1.0,5.669522979624527e6
13,0.0-0.8,5000,5000,1.0,6.216545737521402e6
13,0.5-0.8,5000,5000,1.0,1.0646787508362772e7
14,0.0-0.5,5000,5000,1.0,5.669558590719194e6
14,0.0-0.8,5000,5000,1.0,6.216649480671735e6
14,0.5-0.8,5000,5000,1.0,1.064684461273423e7
15,0.0-0.5,5000,5000,1.0,5.6695366050695e6
15,0.0-0.8,5000,5000,1.0,6.216708359626854e6
15,0.5-0.8,5000,5000,1.0,1.0646795981099898e7
16,0.0-0.5,5000,5000,1.0,5.669523548122522e6
16,0.0-0.8,5000,5000,1.0,6.216591318909422e6
16,0.5-0.8,5000,5000,1.0,1.0646775552428367e7
17,0.0-0.5,5000,5000,1.0,5.6695195626843525e6
17,0.0-0.8,5000,5000,1.0,6.216609610305927e6
17,0.5-0.8,5000,5000,1.0,1.0646798792529033e7
18,0.0-0.5,5000,5000,1.0,5.669505523683441e6
18,0.0-0.8,5000,5000,1.0,6.216649091446704e6
18,0.5-0.8,5000,5000,1.0,1.0646889746066175e7
19,0.0-0.5,5000,5000,1.0,5.669527812157588e6
19,0.0-0.8,5000,5000,1.0,6.216620272140742e6
19,0.5-0.8,5000,5000,1.0,1.064679076887477e7
20,0.0-0.5,5000,5000,1.0,5.669570962855654e6
20,0.0-0.8,5000,5000,1.0,6.216598339948389e6
20,0.5-0.8,5000,5000,1.0,1.064678494756212e7
21,0.0-0.5,5000,5000,1.0,5.66958813971081e6
21,0.0-0.8,5000,5000,1.0,6.216614108871554e6
21,0.5-0.8,5000,5000,1.0,1.0646763362483235e7
22,0.0-0.5,5000,5000,1.0,5.669561745811118e6
22,0.0-0.8,5000,5000,1.0,6.216658271019102e6
22,0.5-0.8,5000,5000,1.0,1.0646735107965646e7
23,0.0-0.5,5000,5000,1.0,5.669519809060696e6
23,0.0-0.8,5000,5000,1.0,6.216635901660263e6
23,0.5-0.8,5000,5000,1.0,1.0646693007930998e7
24,0.0-0.5,5000,5000,1.0,5.669581208477634e6
24,0.0-0.8,5000,5000,1.0,6.216672010619627e6
24,0.5-0.8,5000,5000,1.0,1.064679811559849e7
25,0.0-0.5,5000,5000,1.0,5.669490175900991e6
25,0.0-0.8,5000,5000,1.0,6.216601186674093e6
25,0.5-0.8,5000,5000,1.0,1.0646724490153026e7
26,0.0-0.5,5000,5000,1.0,5.669550635882022e6
26,0.0-0.8,5000,5000,1.0,6.216634457983394e6
26,0.5-0.8,5000,5000,1.0,1.0646778204794915e7
27,0.0-0.5,5000,5000,1.0,5.669550853700834e6
27,0.0-0.8,5000,5000,1.0,6.216674441187882e6
27,0.5-0.8,5000,5000,1.0,1.0646923257098628e7
28,0.0-0.5,5000,5000,1.0,5.669566685498438e6
28,0.0-0.8,5000,5000,1.0,6.216672380017232e6
28,0.5-0.8,5000,5000,1.0,1.0646743376542665e7
29,0.0-0.5,5000,5000,1.0,5.669509864250221e6
29,0.0-0.8,5000,5000,1.0,6.216643281539768e6
29,0.5-0.8,5000,5000,1.0,1.0646751853609849e7
30,0.0-0.5,5000,5000,1.0,5.669504972466748e6
30,0.0-0.8,5000,5000,1.0,6.216614482908358e6
30,0.5-0.8,5000,5000,1.0,1.0646782802606022e7
31,0.0-0.5,5000,5000,1.0,5.669563131890134e6
31,0.0-0.8,5000,5000,1.0,6.216677574573783e6
31,0.5-0.8,5000,5000,1.0,1.0646811961804267e7
32,0.0-0.5,5000,5000,1.0,5.669552652366525e6
32,0.0-0.8,5000,5000,1.0,6.216595054769391e6
32,0.5-0.8,5000,5000,1.0,1.0646788434556507e7
33,0.0-0.5,5000,5000,1.0,5.669595531975587e6
33,0.0-0.8,5000,5000,1.0,6.21656591572195e6
33,0.5-0.8,5000,5000,1.0,1.0646805991389567e7
34,0.0-0.5,5000,5000,1.0,5.669505571459587e6
34,0.0-0.8,5000,5000,1.0,6.216558468091779e6
34,0.5-0.8,5000,5000,1.0,1.0646806627213009e7
35,0.0-0.5,5000,5000,1.0,5.669499107040534e6
35,0.0-0.8,5000,5000,1.0,6.216635577910575e6
35,0.5-0.8,5000,5000,1.0,1.0646750419924146e7
36,0.0-0.5,5000,5000,1.0,5.669589445949024e6
36,0.0-0.8,5000,5000,1.0,6.21660874843475e6
36,0.5-0.8,5000,5000,1.0,1.0646803879580865e7
37,0.0-0.5,5000,5000,1.0,5.669526916258077e6
